# Coexpression analysis
# Randomly chosen genes, March 17
# Pearson correlation coefficient
# GeneA	GeneB	Pearson.val.random
26100	644068	0.0213420025137393
26100	28862	-0.00222579577591011
26100	1234	0.14918492287236
26100	50632	0.438760600907003
26100	6702	0.336203727731077
26100	51151	0.299502399823829
26100	1780	0.449612759100892
26100	51616	0.320667395877162
26100	1796	-0.0192451495139929
26100	5148	0.274388517761528
26100	2218	0.389421195732821
26100	7204	0.334377285071634
26100	23225	-0.0381609835510667
26100	22982	0.447339374773062
26100	83700	0.445619336945675
26100	2968	0.376877512430934
26100	5253	0.109386417817008
26100	8420	0.272975030442926
26100	695	0.0355006453990181
26100	1418	0.259809878839478
26100	3069	0.235970898685309
26100	7043	0.367433461189229
26100	23172	0.204179486883224
26100	84148	0.388394183861915
26100	11013	0.192230424627691
26100	55707	0.0688363842781731
26100	5601	0.365764801419914
644068	28862	0.100086023078579
644068	1234	0.129643674622727
644068	50632	-0.0403553169060748
644068	6702	-0.071617793851516
644068	51151	-0.0405408835973023
644068	1780	-0.100183247747787
644068	51616	0.0133109904811735
644068	1796	0.192939627128145
644068	5148	-0.025236460998911
644068	2218	0.106956420591892
644068	7204	-0.0311899888834644
644068	23225	0.181904930516079
644068	22982	-0.137988178095062
644068	83700	-0.146812270618178
644068	2968	0.0942517110599593
644068	5253	0.000123532117755695
644068	8420	0.00415902982108798
644068	695	-0.017364086132004
644068	1418	-0.0364095731375685
644068	3069	-0.170900789091051
644068	7043	-0.0798288278426742
644068	23172	0.0247612132778379
644068	84148	-0.000778826584616784
644068	11013	-0.0566100346361611
644068	55707	0.0630509802494247
644068	5601	-0.0599593365669416
28862	1234	0.140853598406518
28862	50632	0.10342688051724
28862	6702	0.103820379354666
28862	51151	0.143272022342398
28862	1780	0.123916286441156
28862	51616	0.240447194737809
28862	1796	0.244492149006618
28862	5148	0.199294673057952
28862	2218	0.109612254246457
28862	7204	0.149252952416773
28862	23225	0.0845410293511822
28862	22982	0.129957199251538
28862	83700	0.122895786335301
28862	2968	-0.0220460488742234
28862	5253	0.206028669451872
28862	8420	0.152240433151691
28862	695	0.215666163787744
28862	1418	0.111350904680062
28862	3069	-0.0802652106577954
28862	7043	0.234442757447354
28862	23172	0.0837725708072301
28862	84148	0.188624138043038
28862	11013	0.176416228382195
28862	55707	0.107740000202721
28862	5601	0.006418864804281
1234	50632	0.369644548845112
1234	6702	0.383861489423995
1234	51151	0.51480426770546
1234	1780	0.439415555566048
1234	51616	0.602926405581431
1234	1796	0.254523518111182
1234	5148	0.5655315460383
1234	2218	0.378493723505373
1234	7204	0.291877675946117
1234	23225	0.162958343911738
1234	22982	0.521867879089446
1234	83700	0.449926129091661
1234	2968	0.256291651493433
1234	5253	0.525829197528943
1234	8420	0.574115791945162
1234	695	0.220787396699312
1234	1418	0.50864012276612
1234	3069	0.0516340875579655
1234	7043	0.540587222718578
1234	23172	0.390433613311117
1234	84148	0.595588803030998
1234	11013	0.449348113687884
1234	55707	0.352168923438212
1234	5601	0.0197157638596389
50632	6702	0.47603769206056
50632	51151	0.570019992678044
50632	1780	0.820336407907999
50632	51616	0.591796362670831
50632	1796	0.110724175301002
50632	5148	0.623474513367831
50632	2218	0.685318397838129
50632	7204	0.496812656142496
50632	23225	-0.264893094886889
50632	22982	0.730386870833617
50632	83700	0.697629390434669
50632	2968	0.315504837852056
50632	5253	0.397261804366128
50632	8420	0.590592173428314
50632	695	0.0255430990911532
50632	1418	0.557348512556319
50632	3069	0.197478789132233
50632	7043	0.662053576599756
50632	23172	0.218779379506606
50632	84148	0.605259056032609
50632	11013	0.539975913823145
50632	55707	-0.0476442614446998
50632	5601	0.447795170649186
6702	51151	0.545076373048193
6702	1780	0.530706778530888
6702	51616	0.501587894562431
6702	1796	0.147926519211047
6702	5148	0.608059378941771
6702	2218	0.367226564102088
6702	7204	0.319868407671702
6702	23225	-0.0289592901291175
6702	22982	0.575543853253435
6702	83700	0.511872733001969
6702	2968	0.363709949783537
6702	5253	0.524476689239855
6702	8420	0.618877907190408
6702	695	0.296693608824651
6702	1418	0.530664424197876
6702	3069	0.136987177201063
6702	7043	0.581614470565237
6702	23172	0.387773706399639
6702	84148	0.626052200850325
6702	11013	0.513450974614399
6702	55707	0.194809039202187
6702	5601	0.0773135747402794
51151	1780	0.643055174603012
51151	51616	0.680002922794085
51151	1796	0.185992179471537
51151	5148	0.770426369586432
51151	2218	0.49314188149478
51151	7204	0.442980235370588
51151	23225	-0.140408553444413
51151	22982	0.701106118238439
51151	83700	0.600340703381063
51151	2968	0.3634547819541
