# Coexpression analysis
# Three gene sets from MSigDB, March 13
# MIC
# GeneA	GeneB	MIC.val
717	973	0.309055309552484
717	2534	0.379365460726167
717	8517	0.298272269645221
717	3848	0.572803791897403
717	7462	0.545853306968619
717	10892	0.401224098386727
717	4153	0.363028379912897
717	5788	0.285578298930165
717	7070	0.556945394947728
717	7189	0.393998112427945
717	50852	0.353933468719514
717	7334	0.301267014689259
717	487	0.533862383817205
717	489	0.383662914204428
717	27032	0.294411719125325
717	776	0.653117050656394
717	781	0.493758089135681
717	784	0.479980737675965
717	785	0.463347321583309
717	6355	0.436378623577014
717	1447	0.60829128344926
717	10316	0.439953811055016
717	4852	0.627295097959876
717	5350	0.485366880963067
717	6261	0.377355192067282
717	6263	0.494315823500244
717	6546	0.543297558807158
717	6588	0.515325129675147
717	6786	0.538414940882059
717	7220	0.418970355163099
717	7222	0.52904332475378
717	7223	0.445783116614638
717	7224	0.445830979239209
717	7226	0.473347085907478
717	56302	0.478987712412318
717	197	0.488876691490569
717	1175	0.355510078186887
717	382	0.256097726626544
717	566	0.303839875730473
717	867	0.573388235846941
717	1012	0.362800648550958
717	2624	0.542915827644598
717	26119	0.30051138252198
717	29763	0.521618815711468
717	5538	0.332512418841808
717	5879	0.347567558041436
717	6441	0.567610776496793
717	11037	0.442467741318854
717	9765	0.338850963455231
973	2534	0.290849062811795
973	8517	0.190775010457159
973	3848	0.265523527795688
973	7462	0.325968074156553
973	10892	0.320796727145141
973	4153	0.226318704324888
973	5788	0.245262828677351
973	7070	0.318606006857946
973	7189	0.351151414762174
973	50852	0.26187948532842
973	7334	0.281895030188957
973	487	0.347075458946591
973	489	0.252621501602483
973	27032	0.229944428428819
973	776	0.350876259702693
973	781	0.333302243520654
973	784	0.235191447491435
973	785	0.34416234433082
973	6355	0.243838458729375
973	1447	0.250488488448148
973	10316	0.318138614561503
973	4852	0.373695945612702
973	5350	0.280084684246632
973	6261	0.335936113473672
973	6263	0.263487824374248
973	6546	0.288595111342707
973	6588	0.341503283672809
973	6786	0.283301732179371
973	7220	0.259693107291672
973	7222	0.271135137747991
973	7223	0.240876790433943
973	7224	0.265365658512493
973	7226	0.300842745086906
973	56302	0.256042690040132
973	197	0.26710924654254
973	1175	0.245560320019931
973	382	0.227533702615942
973	566	0.241691557882723
973	867	0.280244878907866
973	1012	0.217495470931481
973	2624	0.318037047564157
973	26119	0.285529439452275
973	29763	0.236004187186934
973	5538	0.318743663427417
973	5879	0.281427907880512
973	6441	0.269980681976943
973	11037	0.305333232349575
973	9765	0.255213449472953
2534	8517	0.285668673118248
2534	3848	0.290345734410991
2534	7462	0.360336787670732
2534	10892	0.204646987951136
2534	4153	0.202778789818095
2534	5788	0.284119441836211
2534	7070	0.483341173832904
2534	7189	0.304365601534216
2534	50852	0.311593837164065
2534	7334	0.314004442434463
2534	487	0.420214808130531
2534	489	0.277257717155915
2534	27032	0.395705284856109
2534	776	0.373030590512732
2534	781	0.347833777955948
2534	784	0.378772495943457
2534	785	0.337096809552854
2534	6355	0.311942572617592
2534	1447	0.36493305464083
2534	10316	0.375676914704776
2534	4852	0.42870817773805
2534	5350	0.291604021013251
2534	6261	0.343768925363841
2534	6263	0.44589634465485
2534	6546	0.305523910107959
2534	6588	0.368990743789746
2534	6786	0.347929411689091
2534	7220	0.509805359219672
2534	7222	0.357486433743949
2534	7223	0.292558241182009
2534	7224	0.218516106257933
2534	7226	0.38322533523456
2534	56302	0.309944538144551
2534	197	0.303100838272383
2534	1175	0.356663706804882
2534	382	0.255612526986769
2534	566	0.232298317181448
2534	867	0.331076402790323
2534	1012	0.37292676266584
2534	2624	0.412087232735933
2534	26119	0.429703183058965
2534	29763	0.293367584248869
2534	5538	0.485668013658911
2534	5879	0.570235594843163
2534	6441	0.308712347420223
2534	11037	0.30310803723061
2534	9765	0.30632193412909
8517	3848	0.317649576160683
8517	7462	0.30965359339888
8517	10892	0.237371013574608
8517	4153	0.275336250253896
8517	5788	0.321964821648737
8517	7070	0.250825460175914
8517	7189	0.250099985681819
8517	50852	0.237727583962545
8517	7334	0.284366339065779
8517	487	0.287510569008474
8517	489	0.291905523758472
8517	27032	0.225948887998182
8517	776	0.337192971390036
8517	781	0.287493668070625
8517	784	0.27395692756477
8517	785	0.262230055847549
8517	6355	0.245056293594439
8517	1447	0.332553018622129
8517	10316	0.227111934278065
8517	4852	0.362445432057568
8517	5350	0.304043986613171
8517	6261	0.201736114138222
8517	6263	0.274606981541147
8517	6546	0.266658752948525
8517	6588	0.333052870145494
8517	6786	0.246414022034756
8517	7220	0.226908587905848
8517	7222	0.258140816244079
8517	7223	0.243147347967156
