	ID	Description
3AJZ02052305_Testi_Intersitial	GSM18988	Testi_Intersitial
3AJZ02051713_Testi_SeminiferousTubule	GSM18989	Testi_SeminiferousTubule
3AJZ02052114_Testi_SeminiferousTubule	GSM18990	Testi_SeminiferousTubule
3AJZ02040823_salivarygland	GSM18991	salivarygland
3AJZ02041226_salivarygland	GSM18992	salivarygland
3AJZ02022639_trachea	GSM18993	trachea
3AJZ02022756_trachea	GSM18994	trachea
3AJZ02050802_AdrenalCortex	GSM18995	AdrenalCortex
3AJZ02051002_AdrenalCortex	GSM18996	AdrenalCortex
3AJZ02050806_Ovary	GSM18997	Ovary
3AJZ02052302_Ovary	GSM18998	Ovary
3AJZ02081482a_Appendix	GSM18999	Appendix
3AJZ02081482b_Appendix	GSM19000	Appendix
3ARS02080776a_skin	GSM19001	skin
3ARS02080776b_skin	GSM19002	skin
3ARS02080773a_ciliary_ganglion	GSM19003	ciliary_ganglion
3ARS02080773b_ciliary_ganglion	GSM19004	ciliary_ganglion
3AJZ02081483a_Trigeminal_Ganglion	GSM19005	Trigeminal_Ganglion
3AJZ02081483b_Trigeminal_Ganglion	GSM19006	Trigeminal_Ganglion
3ARS02080772a_atrioventricular_node	GSM19007	atrioventricular_node
3ARS02080772b_atrioventricular_node	GSM19008	atrioventricular_node
3ARS02080736e_DRG	GSM19009	DRG
3ARS02080736f_DRG	GSM19010	DRG
3AJZ02081478a_Superior_Cervical_Ganglion	GSM19011	Superior_Cervical_Ganglion
3AJZ02081478b_Superior_Cervical_Ganglion	GSM19012	Superior_Cervical_Ganglion
3AJZ02083092a_Skeletal_Muscle_Psoas	GSM19013	Skeletal_Muscle_Psoas
3AJZ02083092b_Skeletal_Muscle_Psoas	GSM19014	Skeletal_Muscle_Psoas
3AJZ02083089a_Uterus_Corpus	GSM19015	Uterus_Corpus
3AJZ02083089b_Uterus_Corpus	GSM19016	Uterus_Corpus
3AJZ02082987A_TONGUE	GSM19017	TONGUE
3AJZ02082987B_TONGUE	GSM19018	TONGUE
3AJZ02060514_OlfactoryBulb	GSM19019	OlfactoryBulb
3AJZ02072561_OlfactoryBulb	GSM19020	OlfactoryBulb
3AJZ02022867_Pituitary	GSM19021	Pituitary
3AJZ02030476_Pituitary	GSM19022	Pituitary
