# Coexpression analysis
# Randomly chosen genes, March 17
# MIC
# GeneA	GeneB	MIC.val.random
26100	644068	0.197869964512338
26100	28862	0.280575244969582
26100	1234	0.282503921540831
26100	50632	0.437871698907316
26100	6702	0.347205717302292
26100	51151	0.318675386048024
26100	1780	0.480537393485489
26100	51616	0.37842833696295
26100	1796	0.245943893041902
26100	5148	0.375585834016942
26100	2218	0.359631185522274
26100	7204	0.312499379600334
26100	23225	0.228977276315427
26100	22982	0.433559085465219
26100	83700	0.4503834386636
26100	2968	0.371317211487356
26100	5253	0.224765496682347
26100	8420	0.391673297506222
26100	695	0.27282917157153
26100	1418	0.287659631787182
26100	3069	0.257300417985167
26100	7043	0.41974919874789
26100	23172	0.308637766038161
26100	84148	0.377641394729032
26100	11013	0.336569085101783
26100	55707	0.211552752442705
26100	5601	0.448654214991517
644068	28862	0.294184298197722
644068	1234	0.210869563676296
644068	50632	0.195203455389828
644068	6702	0.197663086733848
644068	51151	0.199515999033512
644068	1780	0.269072416954108
644068	51616	0.22585906127198
644068	1796	0.192428584699149
644068	5148	0.206731973282344
644068	2218	0.235657137172956
644068	7204	0.252232013435614
644068	23225	0.23063988866791
644068	22982	0.246639193057836
644068	83700	0.217483924322728
644068	2968	0.207392966587826
644068	5253	0.237223756868122
644068	8420	0.250774206063074
644068	695	0.254066842965033
644068	1418	0.221636397646904
644068	3069	0.260043126199271
644068	7043	0.254203045601005
644068	23172	0.202716390061897
644068	84148	0.237499822985407
644068	11013	0.234691504080417
644068	55707	0.229326514908063
644068	5601	0.184801996897322
28862	1234	0.34337030583064
28862	50632	0.413895022577079
28862	6702	0.388715321378607
28862	51151	0.40083742303679
28862	1780	0.517304245807303
28862	51616	0.420255811444338
28862	1796	0.207454332310336
28862	5148	0.511420334346218
28862	2218	0.374924782629989
28862	7204	0.30842414543924
28862	23225	0.226784962673434
28862	22982	0.53258351183465
28862	83700	0.417229644116092
28862	2968	0.312214410422596
28862	5253	0.371616815098328
28862	8420	0.492983024028372
28862	695	0.251124888534023
28862	1418	0.383947823992201
28862	3069	0.29578391460909
28862	7043	0.492389048537893
28862	23172	0.212424286396285
28862	84148	0.38534293275171
28862	11013	0.428034639666541
28862	55707	0.214654960450334
28862	5601	0.333407946136468
1234	50632	0.370358346178443
1234	6702	0.394667105660693
1234	51151	0.398158056482417
1234	1780	0.454313621944816
1234	51616	0.420665764266236
1234	1796	0.259588946067342
1234	5148	0.487057242241759
1234	2218	0.356693071602496
1234	7204	0.28310787710253
1234	23225	0.263945452291408
1234	22982	0.409238158523897
1234	83700	0.333917291134262
1234	2968	0.322914161632035
1234	5253	0.399406930379751
1234	8420	0.466549857817983
1234	695	0.256951968992747
1234	1418	0.34403584411029
1234	3069	0.335416552281744
1234	7043	0.443545755743732
1234	23172	0.305994666345917
1234	84148	0.449138343199016
1234	11013	0.395739356655445
1234	55707	0.296083116485388
1234	5601	0.331495217081383
50632	6702	0.392737487234044
50632	51151	0.417442109595706
50632	1780	0.686357380875912
50632	51616	0.444057468019095
50632	1796	0.25632922276291
50632	5148	0.504528389135226
50632	2218	0.470923857977906
50632	7204	0.388211282223157
50632	23225	0.340270670218542
