Input Value	Input Type	Gene ID	
ENSG00000025772	Ensembl Gene ID	10953	
ENSG00000025796	Ensembl Gene ID	11231	
ENSG00000025800	Ensembl Gene ID	23633	
ENSG00000026025	Ensembl Gene ID	7431	
ENSG00000026036	Ensembl Gene ID	-	
ENSG00000026103	Ensembl Gene ID	355	
ENSG00000026297	Ensembl Gene ID	8635	
ENSG00000026508	Ensembl Gene ID	960	
ENSG00000026559	Ensembl Gene ID	3755	
ENSG00000026652	Ensembl Gene ID	56895	
ENSG00000026751	Ensembl Gene ID	57823	
ENSG00000026950	Ensembl Gene ID	11119	
ENSG00000027001	Ensembl Gene ID	4285	
ENSG00000027075	Ensembl Gene ID	5583	
ENSG00000027644	Ensembl Gene ID	3645	
ENSG00000027697	Ensembl Gene ID	3459	
ENSG00000027847	Ensembl Gene ID	11285	
ENSG00000027869	Ensembl Gene ID	9047	
ENSG00000028116	Ensembl Gene ID	7444	
ENSG00000028137	Ensembl Gene ID	7133	
ENSG00000028203	Ensembl Gene ID	55591	
ENSG00000028277	Ensembl Gene ID	5452	
ENSG00000028310	Ensembl Gene ID	65980	
ENSG00000028528	Ensembl Gene ID	6642	
ENSG00000028839	Ensembl Gene ID	9519	
ENSG00000029153	Ensembl Gene ID	56938	
ENSG00000029363	Ensembl Gene ID	9774	
ENSG00000029364	Ensembl Gene ID	55334	
ENSG00000029534	Ensembl Gene ID	286	
ENSG00000029559	Ensembl Gene ID	3381	
ENSG00000029639	Ensembl Gene ID	51106	
ENSG00000029725	Ensembl Gene ID	9135	
ENSG00000029993	Ensembl Gene ID	3149	
ENSG00000030066	Ensembl Gene ID	23279	
ENSG00000030110	Ensembl Gene ID	578	
ENSG00000030304	Ensembl Gene ID	4593	
ENSG00000030419	Ensembl Gene ID	22807	
ENSG00000030582	Ensembl Gene ID	2896	
ENSG00000031003	Ensembl Gene ID	51306	
ENSG00000031081	Ensembl Gene ID	57514	
ENSG00000031691	Ensembl Gene ID	55166	
ENSG00000031698	Ensembl Gene ID	6301	
ENSG00000031823	Ensembl Gene ID	8498	
ENSG00000032219	Ensembl Gene ID	5926	
ENSG00000032389	Ensembl Gene ID	7260	
ENSG00000032444	Ensembl Gene ID	10908	
ENSG00000032742	Ensembl Gene ID	8100	
ENSG00000033011	Ensembl Gene ID	56052	
ENSG00000033030	Ensembl Gene ID	55596	
ENSG00000033050	Ensembl Gene ID	10061	
ENSG00000033100	Ensembl Gene ID	54480	
ENSG00000033122	Ensembl Gene ID	57554	
ENSG00000033170	Ensembl Gene ID	2530	
ENSG00000033178	Ensembl Gene ID	55236	
ENSG00000033327	Ensembl Gene ID	9846	
ENSG00000033627	Ensembl Gene ID	535	
ENSG00000033800	Ensembl Gene ID	8554	
ENSG00000033867	Ensembl Gene ID	9497	
ENSG00000034053	Ensembl Gene ID	321	
ENSG00000034152	Ensembl Gene ID	5606	
ENSG00000034239	Ensembl Gene ID	79645	
ENSG00000034510	Ensembl Gene ID	9168	
ENSG00000034533	Ensembl Gene ID	28990	
ENSG00000034677	Ensembl Gene ID	25897	
ENSG00000034693	Ensembl Gene ID	8504	
ENSG00000034713	Ensembl Gene ID	11345	
ENSG00000034971	Ensembl Gene ID	4653	
ENSG00000035115	Ensembl Gene ID	26751	
ENSG00000035141	Ensembl Gene ID	84908	
ENSG00000035403	Ensembl Gene ID	7414	
ENSG00000035499	Ensembl Gene ID	55789	
ENSG00000035664	Ensembl Gene ID	23604	
ENSG00000035681	Ensembl Gene ID	8439	
ENSG00000035687	Ensembl Gene ID	159	
ENSG00000035720	Ensembl Gene ID	26228	
ENSG00000035862	Ensembl Gene ID	7077	
ENSG00000035928	Ensembl Gene ID	5981	
ENSG00000036054	Ensembl Gene ID	55773	
ENSG00000036257	Ensembl Gene ID	8452	
ENSG00000036448	Ensembl Gene ID	9172	
ENSG00000036473	Ensembl Gene ID	5009	
ENSG00000036530	Ensembl Gene ID	10858	
ENSG00000036549	Ensembl Gene ID	26009	
ENSG00000036565	Ensembl Gene ID	6570	
ENSG00000036672	Ensembl Gene ID	9099	
ENSG00000036828	Ensembl Gene ID	846	
ENSG00000037042	Ensembl Gene ID	27175	
ENSG00000037241	Ensembl Gene ID	51121	
ENSG00000037280	Ensembl Gene ID	2324	
ENSG00000037474	Ensembl Gene ID	54888	
ENSG00000037637	Ensembl Gene ID	54455	
ENSG00000037749	Ensembl Gene ID	4238	
ENSG00000037757	Ensembl Gene ID	84245	
ENSG00000037897	Ensembl Gene ID	4234	
ENSG00000037965	Ensembl Gene ID	3224	
ENSG00000038002	Ensembl Gene ID	175	
ENSG00000038210	Ensembl Gene ID	55300	
ENSG00000038219	Ensembl Gene ID	259282	
ENSG00000038274	Ensembl Gene ID	27430	
ENSG00000038295	Ensembl Gene ID	7092	
ENSG00000038358	Ensembl Gene ID	23644	
ENSG00000038382	Ensembl Gene ID	7204	
ENSG00000038427	Ensembl Gene ID	1462	
ENSG00000038532	Ensembl Gene ID	23274	
ENSG00000038945	Ensembl Gene ID	4481	
ENSG00000039068	Ensembl Gene ID	999	
ENSG00000039123	Ensembl Gene ID	23517	
ENSG00000039139	Ensembl Gene ID	1767	
ENSG00000039319	Ensembl Gene ID	9765	
ENSG00000039523	Ensembl Gene ID	79567	
ENSG00000039537	Ensembl Gene ID	729	
ENSG00000039560	Ensembl Gene ID	26064	
ENSG00000039600	Ensembl Gene ID	11063	
ENSG00000039650	Ensembl Gene ID	11284	
ENSG00000039987	Ensembl Gene ID	54831	
ENSG00000040199	Ensembl Gene ID	23035	
ENSG00000040275	Ensembl Gene ID	54908	
ENSG00000040341	Ensembl Gene ID	27067	
ENSG00000040487	Ensembl Gene ID	54896	
ENSG00000040531	Ensembl Gene ID	1497	
ENSG00000040608	Ensembl Gene ID	65078	
ENSG00000040633	Ensembl Gene ID	79142	
ENSG00000040731	Ensembl Gene ID	1008	
ENSG00000040933	Ensembl Gene ID	3631	
ENSG00000041353	Ensembl Gene ID	5874	
ENSG00000041357	Ensembl Gene ID	5685	
ENSG00000041515	Ensembl Gene ID	23026	
ENSG00000041802	Ensembl Gene ID	55341	
ENSG00000041880	Ensembl Gene ID	10039	
ENSG00000041982	Ensembl Gene ID	3371	
ENSG00000041988	Ensembl Gene ID	90326	
