"","Gene 1","Gene 2","GOSEMScore"
"248",4852,7224,0.284
"249",84876,5350,0.4085
"250",84876,6261,0.4175
"251",84876,6263,0.497
"252",84876,6546,0.514
"253",84876,6588,0.5155
"254",84876,6786,0.657
"255",84876,57620,0.624
"256",84876,7220,0.6375
"257",84876,7222,0.7125
"258",84876,7223,0.5215
"259",84876,7224,0.6635
"260",84876,7226,0.727
"261",84876,56302,0.6845
"262",5350,6261,0.4855
"263",5350,6263,0.3705
"264",5350,6546,0.4795
"265",5350,6588,0.61
"266",5350,6786,0.539
"267",5350,57620,0.54
"268",5350,7220,0.3955
"269",5350,7222,0.3945
"270",5350,7223,0.392
"271",5350,7224,0.3935
"272",5350,7226,0.321
"273",5350,56302,0.3125
"274",6261,6263,0.5835
"275",6261,6546,0.637
"276",6261,6588,0.5355
"277",6261,6786,0.554
"278",6261,57620,0.5185
"279",6261,7220,0.528
"280",6261,7222,0.5605
"281",6261,7223,0.5355
"282",6261,7224,0.5135
"283",6261,7226,0.4465
"284",6261,56302,0.4335
"285",6263,6546,0.4085
"286",6263,6588,0.7115
"287",6263,6786,0.611
"288",6263,57620,0.49
"289",6263,7220,0.5775
"290",6263,7222,0.6185
"291",6263,7223,0.511
"292",6263,7224,0.584
"293",6263,7226,0.5645
"294",6263,56302,0.6115
"295",6546,6588,0.436
"296",6546,6786,0.49
"297",6546,57620,0.489
"298",6546,7220,0.5745
"299",6546,7222,0.6415
"300",6546,7223,0.541
"301",6546,7224,0.5365
"302",6546,7226,0.4955
"303",6546,56302,0.488
"304",6588,6786,0.5765
"305",6588,57620,0.553
"306",6588,7220,0.4565
"307",6588,7222,0.483
"308",6588,7223,0.435
"309",6588,7224,0.509
"310",6588,7226,0.5055
"311",6588,56302,0.5335
"312",6786,57620,0.7325
"313",6786,7220,0.593
"314",6786,7222,0.6325
"315",6786,7223,0.5555
"316",6786,7224,0.56
"317",6786,7226,0.5625
"318",6786,56302,0.5295
"319",57620,7220,0.621
"320",57620,7222,0.595
"321",57620,7223,0.536
"322",57620,7224,0.5755
"323",57620,7226,0.688
"324",57620,56302,0.645
"325",7220,7222,0.7915
"326",7220,7223,0.655
"327",7220,7224,0.7975
"328",7220,7226,0.7415
"329",7220,56302,0.736
"330",7222,7223,0.6085
"331",7222,7224,0.7875
"332",7222,7226,0.7475
"333",7222,56302,0.748
"334",7223,7224,0.771
"335",7223,7226,0.673
"336",7223,56302,0.66
"337",7224,7226,0.8145
"338",7224,56302,0.8045
"339",7226,56302,0.904
